id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_corners_70_75,away_corners_70_75,home_shots_70_75,away_shots_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_75_80,away_corners_75_80,home_shots_75_80,away_shots_75_80,home_fouls_75_80,away_fouls_75_80,odd_h,odd_d,odd_a,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,odds_ratio,shot_to_corner_ratio_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,home_corner_diff,away_corner_diff,corner_diff,target
0Ed6GSCi/,2011-08-21,2012,F1,france,Montpellier,Stade Rennes,2.4,3.2,4.0,3-0,4-0,h,3,10,4,18,11,3,1,4,3,0,0,1,0,1,0,1,0,0,0,0,0,2,1,2.4,3.2,4.0,14,29,7,0,4,1,1,1,0,0,3,0.6,3.5,0.0,0.0,-0.0,0.0,0,2,1,0,1,1
M3FzCtd9/,2011-08-21,2012,D1,germany,Hannover 96,Hertha Berlin,2.31,3.7,3.3,1-0,1-1,h,1,12,5,17,15,3,5,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2.31,3.7,3.3,17,32,4,0,8,0,0,2,0,0,0,0.7,2.125,0.0,0.303,0.0,0.0,0,-2,0,1,1,1
fydAFnSc/,2011-08-21,2012,F1,france,AS Nancy Lorraine,Sochaux,2.24,3.35,3.9,1-2,1-2,a,-1,9,5,15,14,4,4,2,1,0,1,0,0,0,0,3,1,1,0,2,0,0,0,2.24,3.35,3.9,14,29,3,1,8,0,0,4,1,2,0,0.574,1.75,0.446,0.0,1.338,0.0,3,-4,0,0,0,0
j3kJDQdA/,2011-08-21,2012,F1,france,Paris Saint-Germain,Valenciennes,1.67,4.0,7.5,2-1,2-1,h,1,15,8,8,8,3,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1.67,4.0,7.5,23,16,2,0,3,0,1,2,0,0,0,0.223,7.667,0.0,0.133,-0.0,0.0,0,-2,0,0,0,0
lvg2H8co/,2011-08-21,2012,F1,france,Marseille,St Etienne,1.6,4.09,7.8,0-0,0-0,d,0,13,3,10,16,3,3,1,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1.6,4.09,7.8,16,26,5,0,6,1,1,2,0,0,0,0.205,2.667,0.83,0.17,0.0,-0.34,0,-2,6,0,6,1
z7JvB0BF/,2011-08-21,2012,D1,germany,Mainz,Schalke 04,2.46,3.68,3.15,2-2,2-4,d,0,13,9,13,14,5,4,0,2,0,0,0,1,0,0,0,1,1,0,2,1,1,1,2.46,3.68,3.15,22,27,2,0,9,1,0,1,1,3,2,0.781,2.444,0.561,0.439,1.683,0.0,0,1,1,1,2,1
vwm9GyYl/,2011-08-26,2012,D1,germany,Hertha Berlin,VfB Stuttgart,2.4,3.55,3.3,0-0,1-0,d,0,12,15,8,9,4,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2.4,3.55,3.3,27,17,1,0,6,0,2,1,0,0,0,0.727,4.5,0.579,0.421,-1.158,0.0,0,-1,0,1,1,1
0QSBhGQ1/,2011-08-27,2012,F1,france,Lyon,Montpellier,1.72,3.7,6.4,1-0,2-1,h,1,10,14,13,11,5,6,3,3,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1.72,3.7,6.4,24,24,6,0,11,0,1,1,1,1,1,0.269,2.182,0.0,0.156,0.0,-0.156,2,0,0,1,1,1
C2F4CH2R/,2011-08-27,2012,F1,france,Valenciennes,Bordeaux,2.65,3.14,3.35,1-1,1-2,d,0,8,9,16,14,4,4,1,2,0,0,1,1,1,0,0,1,0,0,1,0,3,1,2.65,3.14,3.35,17,30,3,0,8,2,1,1,0,1,4,0.791,2.125,0.558,0.442,-0.558,-0.442,0,3,0,0,0,0
CtEdUSdJ/,2011-08-27,2012,SP1,spain,Sporting Gijon,Real Sociedad,2.08,3.5,4.2,1-2,1-2,a,-1,16,6,9,9,6,2,2,0,0,1,2,0,3,0,0,1,1,0,2,0,0,1,2.08,3.5,4.2,22,18,2,1,8,2,3,1,1,2,1,0.495,2.75,0.481,0.0,-0.962,0.0,3,0,2,0,2,1
KSGZOJuF/,2011-08-27,2012,D1,germany,Nurnberg,FC Augsburg,1.76,4.01,5.45,1-0,1-0,h,1,15,11,10,12,4,2,3,1,0,0,0,1,1,1,0,0,0,0,2,0,0,1,1.76,4.01,5.45,26,22,4,0,6,1,2,0,0,2,1,0.323,4.333,0.0,0.183,0.0,-0.366,2,1,0,1,1,1
MZT7gdBe/,2011-08-27,2012,F1,france,Lorient,AS Nancy Lorraine,2.06,3.35,4.5,1-1,2-1,d,0,16,6,7,14,10,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2.06,3.35,4.5,22,21,3,0,11,0,1,0,0,1,2,0.458,2.0,0.686,0.314,0.686,-0.314,0,2,0,0,0,0
O0NQQuB2/,2011-08-27,2012,D1,germany,Hamburg SV,FC Cologne,1.75,4.51,5.2,3-2,3-4,h,1,13,4,14,16,5,3,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.75,4.51,5.2,17,30,3,0,8,0,0,1,1,1,0,0.337,2.125,0.0,0.192,0.0,0.192,2,-1,0,1,1,1
Q7zaeItq/,2011-08-27,2012,F1,france,Evian Thonon Gaillard,Dijon FCO,1.88,3.65,5.14,0-1,0-1,a,-1,10,8,13,14,4,4,1,1,0,0,0,0,0,0,0,-1,0,0,0,2,1,1,1.88,3.65,5.14,18,27,2,0,8,0,0,-1,0,2,2,0.366,2.25,0.532,0.0,0.0,0.0,2,3,1,0,1,1
